! Auto-generated by Reform.

MD5	5bcd91ee055e9bd42812617571be227b
Routine 0x86d4	Action65Sub:?
Routine 0x86da	Action116Sub:?
Routine 0x8784	routine34692:?
Routine 0x87ac	Action117Sub:?
Routine 0x87b8	Action118Sub:?
Routine 0x87ca	Action119Sub:?
Routine 0x87d4	Action120Sub:?
Routine 0x87dc	Action122Sub:?
Routine 0x8810	Action121Sub:?
Routine 0x881a	Action72Sub:?
Routine 0x8850	Action123Sub:?
Routine 0x8876	Action124Sub:?
Routine 0x8888	Action125Sub:?
Routine 0x88d4	Action126Sub:?
Routine 0x8926	Action127Sub:?
Routine 0x893a	PreAction94Sub:?
Routine 0x89d0	Action94Sub:?
Routine 0x89f8	Action112Sub:?
Routine 0x8a56	Action35Sub:?
Routine 0x8b3c	Action128Sub:?
Routine 0x8b9e	Action130Sub:?
Routine 0x8bb4	Action131Sub:?
Routine 0x8be0	Action132Sub:?
Routine 0x8bfa	Action133Sub:?
Routine 0x8c14	PreAction90Sub:?
Routine 0x8c24	Action90Sub:?
Routine 0x8c30	Action134Sub:?
Routine 0x8c38	Action135Sub:?
Routine 0x8c4e	Action136Sub:?
Routine 0x8c74	Action138Sub:?
Routine 0x8da2	Action140Sub:?
Routine 0x8dbc	Action139Sub:?
Routine 0x8dea	Action141Sub:?
Routine 0x8df4	Action104Sub:?
Routine 0x8e10	Action142Sub:?
Routine 0x8e1a	Action143Sub:?
Routine 0x8e2c	Action144Sub:?
Routine 0x8e36	Action145Sub:?
Routine 0x8e46	Action146Sub:?
Routine 0x8e52	routine36434:?
Routine 0x8e64	routine36452:?
Routine 0x8f16	routine36630:?
Routine 0x8f5a	routine36698:?
Routine 0x903a	routine36922:?
! References: obj84_fancy_violin.prop17
Routine 0x908c	routine37004:?
Routine 0x91b2	routine37298:?
Routine 0x9214	routine37396:?
Routine 0x9224	routine37412:?
Routine 0x9236	routine37430:?
Routine 0x9250	routine37456:?
Routine 0x9258	routine37464:?
Routine 0x9270	routine37488:?
Routine 0x93c2	routine37826:?
Routine 0x9408	routine37896:?
Routine 0x9420	routine37920:?
Routine 0x9450	routine37968:?
Routine 0x947a	routine38010:?
Routine 0x94aa	routine38058:?
Routine 0x9638	routine38456:?
Routine 0x964e	routine38478:?
Routine 0x9676	routine38518:?
Routine 0x9684	routine38532:?
Routine 0x96a6	routine38566:?
Routine 0x96c4	routine38596:?
Routine 0x96e2	routine38626:?
Routine 0x96f2	routine38642:?
Routine 0x9702	routine38658:?
Routine 0x9728	routine38696:?
Routine 0x973a	routine38714:?
! References: obj23_sword.prop15
Routine 0x9746	routine38726:?
Routine 0x975e	routine38750:?
Routine 0x9826	routine38950:?
! References: obj138_Carousel_Room.prop15
Routine 0x9846	routine38982:?
! References: obj84_fancy_violin.prop15
Routine 0x994e	routine39246:?
Routine 0x997a	routine39290:?
! References: obj98_basket.prop6, obj98_basket.prop15
Routine 0x99b6	routine39350:?
Routine 0x9cfe	routine40190:?
Routine 0x9d1e	routine40222:?
Routine 0x9db0	routine40368:?
Routine 0x9dd6	routine40406:?
Routine 0x9eee	routine40686:?
! References: obj59_receptacle.prop15, obj87_cloth_bag.prop15
Routine 0x9f9e	routine40862:?
! References: obj95_braided_wire.prop15
Routine 0xa09c	routine41116:?
Routine 0xa124	routine41252:?
! References: obj125_Dusty_Room.prop15
Routine 0xa15e	routine41310:?
! References: obj96_box.prop15
Routine 0xa206	routine41478:?
! References: obj94_brick.prop15
Routine 0xa26a	routine41578:?
! References: obj52_black_string.prop15
Routine 0xa278	routine41592:?
Routine 0xa2aa	routine41642:?
Routine 0xa37c	routine41852:?
Routine 0xa3fc	routine41980:?
! References: obj126_Wide_Ledge.prop15
Routine 0xa492	routine42130:?
Routine 0xa508	routine42248:?
Routine 0xa510	routine42256:?
! References: obj99_Volcano_Gnome.prop15
Routine 0xa5d2	routine42450:?
Routine 0xa750	routine42832:?
! References: obj63_purple_book.prop15
Routine 0xa7a0	routine42912:?
! References: obj60_white_book.prop15, obj61_blue_book.prop15, obj62_green_book.prop15
Routine 0xa7c2	routine42946:?
! References: obj170_set_of_poled_heads.prop15
Routine 0xa7d8	routine42968:?
! References: obj174_Crypt_Anteroom.prop15
Routine 0xa816	routine43030:?
! References: obj172_Crypt.prop15
Routine 0xa8d2	routine43218:?
Routine 0xaa4c	routine43596:?
! References: obj169_marble_crypt.prop15
Routine 0xaac4	routine43716:?
! References: obj173_crypt_door.prop15
Routine 0xaaf0	routine43760:?
Routine 0xab02	routine43778:?
! References: obj171_secret_door.prop15
Routine 0xab0e	routine43790:?
! References: obj22_Frobozz_Magic_Grue_Repellent.prop15
Routine 0xab42	routine43842:?
Routine 0xac14	routine44052:?
! References: obj168_Landing.prop15
Routine 0xac38	routine44088:?
Routine 0xae76	routine44662:?
! References: obj30_quantity_of_salty_water.prop15, obj31_quantity_of_water.prop15, obj238_water.prop15
Routine 0xae82	routine44674:?
Routine 0xb02c	routine45100:?
! References: obj51_wooden_bucket.prop15
Routine 0xb050	routine45136:?
Routine 0xb176	routine45430:?
! References: obj116_Posts_Room.prop15
Routine 0xb188	routine45448:?
! References: obj71_cake_frosted_with_green_letters.prop15
Routine 0xb1c4	routine45508:?
Routine 0xb254	routine45652:?
! References: obj68_cake_frosted_with_red_letters.prop15, obj69_cake_frosted_with_orange_letters.prop15, obj70_cake_frosted_with_blue_letters.prop15
Routine 0xb28e	routine45710:?
! References: obj55_package_of_candy.prop15
Routine 0xb498	routine46232:?
! References: obj54_wall_with_etchings.prop15
Routine 0xb562	routine46434:?
! References: obj53_wall_with_etchings.prop15
Routine 0xb5ca	routine46538:?
! References: obj46_large_stone_cube.prop15
Routine 0xb60e	routine46606:?
Routine 0xb67c	routine46716:?
Routine 0xb68c	routine46732:?
! References: obj66_pool_of_tears.prop15
Routine 0xb69e	routine46750:?
! References: obj81_stoppered_glass_flask_filled_with_liquid.prop15
Routine 0xb6f0	routine46832:?
! References: obj67_leak.prop15
Routine 0xb7aa	routine47018:?
Routine 0xb7d4	routine47060:?
! References: obj123_Low_Room.prop15
Routine 0xb7e6	routine47078:?
! References: obj123_Low_Room.out_to, obj123_Low_Room.southw_to, obj123_Low_Room.se_to, obj123_Low_Room.northw_to, obj123_Low_Room.ne_to, obj123_Low_Room.s_to, obj123_Low_Room.w_to, obj123_Low_Room.e_to, obj123_Low_Room.n_to
Routine 0xb8a2	routine47266:?
! References: obj89_triangular_button.prop15, obj90_square_button.prop15, obj91_round_button.prop15
Routine 0xb8e6	routine47334:?
! References: obj85_red_crystal_sphere.prop15
Routine 0xb9a4	routine47524:?
Routine 0xba6a	routine47722:?
! References: obj120_Cage.prop15
Routine 0xba84	routine47748:?
! References: obj58_robot.prop15
Routine 0xba90	routine47760:?
! References: obj49_stack_of_zorkmid_bills.prop15
Routine 0xbd42	routine48450:?
! References: obj107_Safety_Depository.e_to
Routine 0xbd76	routine48502:?
! References: obj107_Safety_Depository.w_to
Routine 0xbdb8	routine48568:?
! References: obj107_Safety_Depository.prop15
Routine 0xbdc0	routine48576:?
! References: obj112_East_Teller_s_Room.prop15, obj113_West_Teller_s_Room.prop15
Routine 0xbdd0	routine48592:?
! References: obj45_shimmering_curtain_of_light.prop15
Routine 0xbe96	routine48790:?
Routine 0xbeee	routine48878:?
! References: obj232_north_wall.prop15, obj233_south_wall.prop15, obj234_west_wall.prop15, obj235_east_wall.prop15
Routine 0xbf08	routine48904:?
Routine 0xbf2a	routine48938:?
Routine 0xbf44	routine48964:?
Routine 0xbf9e	routine49054:?
Routine 0xbfdc	routine49116:?
Routine 0xc032	routine49202:?
! References: obj44_Gnome_of_Zurich.prop15
Routine 0xc158	routine49496:?
Routine 0xc34c	routine49996:?
Routine 0xc3ae	routine50094:?
Routine 0xc3c8	routine50120:?
! References: obj100_Tiny_Room.prop15
Routine 0xc3fa	routine50170:?
! References: obj103_Dreary_Room.prop15
Routine 0xc44c	routine50252:?
Routine 0xc4c6	routine50374:?
Routine 0xc4fc	routine50428:?
Routine 0xc5e8	routine50664:?
Routine 0xc5f6	routine50678:?
! References: obj38_keyhole.prop15, obj39_keyhole.prop15
Routine 0xc610	routine50704:?
! References: obj42_metal_lid.prop15, obj43_metal_lid.prop15
Routine 0xc700	routine50944:?
Routine 0xc784	routine51076:?
! References: obj35_blue_crystal_sphere.prop15, obj143_clear_crystal_sphere.prop15, obj157_black_crystal_sphere.prop15
Routine 0xc7a0	routine51104:?
! References: obj17_Room_of_Black_Mist.prop15, obj18_Room_of_White_Mist.prop15, obj19_Room_of_Blue_Mist.prop15, obj21_Room_of_Red_Mist.prop15
Routine 0xc806	routine51206:?
! References: obj20_sphere.prop15
Routine 0xcba4	routine52132:?
Routine 0xcbc6	routine52166:?
! References: obj101_barred_window.prop15
Routine 0xcd3c	routine52540:?
! References: obj102_door_made_of_oak.prop15
Routine 0xcd84	routine52612:?
! References: obj36_rusty_iron_key.prop15
Routine 0xceae	routine52910:?
! References: obj33_place_mat.prop15
Routine 0xcec8	routine52936:?
! References: obj237_wish.prop15
Routine 0xcf50	routine53072:?
! References: obj236_well.prop15
Routine 0xcfbc	routine53180:?
! References: obj105_matchbook.prop15
Routine 0xd000	routine53248:?
Routine 0xd0d0	routine53456:?
! References: obj76_lamp.prop15
Routine 0xd0e8	routine53480:?
Routine 0xd1b4	routine53684:?
! References: obj137_Riddle_Room.prop15
Routine 0xd21a	routine53786:?
! References: obj136_stone_door.prop15
Routine 0xd3a0	routine54176:?
Routine 0xd3fe	routine54270:?
Routine 0xd416	routine54294:?
Routine 0xd6c4	routine54980:?
Routine 0xd732	routine55090:?
Routine 0xd77e	routine55166:?
! References: obj186_diamond_shaped_window.prop15
Routine 0xd7b8	routine55224:?
! References: obj178_Oddly_angled_Room.prop15, obj179_Oddly_angled_Room.prop15, obj180_Oddly_angled_Room.prop15, obj181_Oddly_angled_Room.prop15, obj182_Oddly_angled_Room.prop15, obj183_Oddly_angled_Room.prop15, obj184_Oddly_angled_Room.prop15, obj185_Oddly_angled_Room.prop15, obj187_Oddly_angled_Room.prop15
Routine 0xd804	routine55300:?
Routine 0xd9be	routine55742:?
! References: obj175_three_headed_dog.prop15
Routine 0xda2e	routine55854:?
! References: obj191_gigantic_dog_collar.prop15
Routine 0xdcee	routine56558:?
! References: obj82_glacier.prop15
Routine 0xdd10	routine56592:?
! References: obj200_Ice_Room.prop15
Routine 0xdd38	routine56632:?
! References: obj207_huge_red_dragon.prop15
Routine 0xdddc	routine56796:?
Routine 0xdff2	routine57330:?
Routine 0xe01c	routine57372:?
Routine 0xe056	routine57430:?
Routine 0xe4b8	routine58552:?
Routine 0xe4cc	routine58572:?
! References: obj218_Topiary.prop15, obj219_Formal_Garden.prop15, obj222_North_End_of_Garden.prop15
Routine 0xe62e	routine58926:?
! References: obj224_unicorn.prop15
Routine 0xe644	routine58948:?
! References: obj28_ribbon.prop15, obj29_delicate_gold_key.prop15, obj223_unicorn.prop15
Routine 0xe6a2	routine59042:?
! References: obj221_gazebo.prop15
Routine 0xe7d0	routine59344:?
! References: obj209_rotten_wooden_chest.prop15
Routine 0xe806	routine59398:?
! References: obj204_beautiful_princess.prop15, obj205_beautiful_princess.prop15
Routine 0xe8ce	routine59598:?
Routine 0xea90	routine60048:?
Routine 0xecac	routine60588:?
! References: obj195_Menhir_Room.prop15
Routine 0xee2a	routine60970:?
Routine 0xef14	routine61204:?
! References: obj194_enormous_menhir.prop15
Routine 0xf080	routine61568:?
! References: obj166_lizard.prop15
Routine 0xf1fa	routine61946:?
! References: obj197_door_partly_covered_in_cobwebs.prop15
Routine 0xf44a	routine62538:?
! References: obj167_Guarded_Room.prop15
Routine 0xf5b0	routine62896:?
! References: obj165_Wizard_s_Workshop.prop15
Routine 0xf6ca	routine63178:?
! References: obj163_arcane_item.prop15
Routine 0xf74a	routine63306:?
! References: obj152_small_bottles.prop15, obj153_nicked_swords.prop15, obj154_set_of_used_wands.prop15, obj155_degree.prop15
Routine 0xf78a	routine63370:?
! References: obj158_black_obsidian_stand.prop15, obj159_diamond_stand.prop15, obj160_sapphire_stand.prop15, obj161_ruby_stand.prop15
Routine 0xf7ca	routine63434:?
! References: obj142_Murky_Room.prop15
Routine 0xf920	routine63776:?
! References: obj144_aquarium.prop15
Routine 0xf9ec	routine63980:?
! References: obj141_baby_sea_serpent.prop15
Routine 0xfc46	routine64582:?
! References: obj140_dead_sea_serpent.prop15
Routine 0xfcec	routine64748:?
! References: obj26_demon.prop15
Routine 0xfd1a	routine64794:?
Routine 0x1059c	routine66972:?
Routine 0x105c8	routine67016:?
! References: obj146_pentagram.prop15
Routine 0x105e6	routine67046:?
! References: obj25_Wizard_of_Frobozz.prop15
Routine 0x1083e	routine67646:?
Routine 0x10ab2	routine68274:?
Routine 0x11214	routine70164:?
Routine 0x11240	routine70208:?
! References: obj149_Wizard_s_trophy_cabinet.prop15, obj150_Wizard_s_trophy_cabinet.prop15
Routine 0x1126c	routine70252:?
! References: obj24_Wizard_s_magic_wand.prop15
Routine 0x11310	routine70416:?
Routine 0x114d6	routine70870:?
! References: obj139_Wizard_s_Quarters.prop15
Routine 0x1150e	routine70926:?
! References: obj245_bridge.prop15
Routine 0x11552	routine70994:?
! References: obj250_stream.prop15
Routine 0x1156a	routine71018:?
! References: obj248_chasm.prop15
Routine 0x115a0	routine71072:?
! References: obj244_tunnel.prop15
Routine 0x1161c	routine71196:?
Routine 0x11636	routine71222:?
! References: obj247_mosses.prop15
Routine 0x11664	routine71268:?
! References: obj246_roses.prop15
Routine 0x116aa	routine71338:?
Routine 0x116f6	routine71414:?
Routine 0x11712	Action3Sub:?
Routine 0x117c4	Action9Sub:?
Routine 0x118ce	routine71886:?
Routine 0x119be	routine72126:?
Routine 0x11a22	routine72226:?
Routine 0x11a72	routine72306:?
! References: obj51_wooden_bucket.prop4
Routine 0x11a8a	routine72330:?
Routine 0x11ab2	routine72370:?
