! Auto-generated by Reform.

MD5	ad3cdea88d81033fe29167688bd98c31
Routine 0x8928	Action104Sub:?
Routine 0x8936	Action61Sub:?
Routine 0x893e	Action53Sub:?
Routine 0x8992	PreAction68Sub:?
Routine 0x89d0	Action68Sub:?
Routine 0x89f2	Action66Sub:?
! References: obj5_bare_hands_of_a_novice_enchanter.prop19
Routine 0x8a00	Action67Sub:?
Routine 0x8a10	Action43Sub:?
Routine 0x8aac	routine35500:?
Routine 0x8abc	Action97Sub:?
Routine 0x8ad0	PreAction19Sub:?
Routine 0x8b04	Action19Sub:?
Routine 0x8b5c	Action123Sub:?
Routine 0x8b68	Action86Sub:?
Routine 0x8b74	Action54Sub:?
Routine 0x8b84	Action30Sub:?
Routine 0x8b90	Action64Sub:?
Routine 0x8b9c	Action79Sub:?
Routine 0x8ba8	Action124Sub:?
Routine 0x8bb0	Action28Sub:?
Routine 0x8c56	PreAction16Sub:?
Routine 0x8c6a	Action57Sub:?
Routine 0x8c74	routine35956:?
Routine 0x8d36	Action16Sub:?
Routine 0x8d40	Action113Sub:?
Routine 0x8d54	Action56Sub:?
Routine 0x8d5e	Action132Sub:?
Routine 0x8d68	Action133Sub:?
Routine 0x8d94	Action94Sub:?
Routine 0x8d9e	Action71Sub:?
Routine 0x8da8	Action98Sub:?
Routine 0x8db2	Action87Sub:?
Routine 0x8dbc	Action88Sub:?
Routine 0x8dce	Action76Sub:?
Routine 0x8e3a	routine36410:?
Routine 0x8e64	routine36452:?
Routine 0x8e86	Action59Sub:?
Routine 0x8ebc	Action135Sub:?
Routine 0x8ed2	Action81Sub:?
Routine 0x8ede	Action45Sub:?
Routine 0x8ef0	Action102Sub:?
Routine 0x8f30	PreAction31Sub:?
Routine 0x8f5c	Action31Sub:?
Routine 0x8f76	Action105Sub:?
Routine 0x8f8e	routine36750:?
Routine 0x8fac	Action112Sub:?
Routine 0x8ff8	Action125Sub:?
! References: obj121_maps.prop19
Routine 0x9012	PreAction121Sub:?
Routine 0x9026	Action121Sub:?
Routine 0x903a	Action122Sub:?
Routine 0x9054	Action72Sub:?
Routine 0x9072	Action75Sub:?
Routine 0x9094	Action128Sub:?
Routine 0x90a8	Action136Sub:?
Routine 0x90d6	Action20Sub:?
Routine 0x90f6	Action23Sub:?
Routine 0x9100	Action21Sub:?
Routine 0x915c	Action24Sub:?
! References: obj114_niche.prop19
Routine 0x9170	Action22Sub:?
Routine 0x9178	Action101Sub:?
! References: obj17_noise.prop19
Routine 0x919a	Action134Sub:?
Routine 0x91b0	Action26Sub:?
Routine 0x91be	Action89Sub:?
Routine 0x91ce	Action74Sub:?
Routine 0x921a	Action38Sub:?
Routine 0x9222	Action40Sub:?
Routine 0x922a	Action27Sub:?
Routine 0x9236	Action70Sub:?
Routine 0x9244	Action48Sub:?
Routine 0x92e8	Action114Sub:?
Routine 0x9342	Action13Sub:?
Routine 0x9362	Action14Sub:?
Routine 0x938a	Action58Sub:?
Routine 0x939e	Action95Sub:?
Routine 0x93b6	routine37814:?
Routine 0x93d0	Action117Sub:?
Routine 0x9436	Action106Sub:?
Routine 0x9440	Action39Sub:?
Routine 0x94ae	Action91Sub:?
Routine 0x94be	Action120Sub:?
Routine 0x94ce	Action9Sub:?
Routine 0x952c	Action110Sub:?
! References: obj52_point_R.prop19
Routine 0x9552	Action92Sub:?
Routine 0x956c	routine38252:?
Routine 0x957a	Action131Sub:?
Routine 0x95a4	routine38308:?
Routine 0x95ca	Action34Sub:?
Routine 0x95f2	Action36Sub:?
Routine 0x9606	Action141Sub:?
Routine 0x9678	Action140Sub:?
Routine 0x96c0	Action143Sub:?
Routine 0x9726	Action142Sub:?
Routine 0x97f4	routine38900:?
Routine 0x981a	Action96Sub:?
Routine 0x986c	routine39020:?
Routine 0x98a0	routine39072:?
Routine 0x98c4	routine39108:?
Routine 0x98f2	Action83Sub:?
Routine 0x9946	Action116Sub:?
Routine 0x9a20	Action118Sub:?
Routine 0x9a60	Action47Sub:?
Routine 0x9a9e	Action41Sub:?
Routine 0x9ab2	Action166Sub:?
Routine 0x9ade	routine39646:?
Routine 0x9b30	Action167Sub:?
Routine 0x9bba	Action169Sub:?
Routine 0x9bce	Action137Sub:?
Routine 0x9be6	PreAction138Sub:?
Routine 0x9bf0	Action138Sub:?
Routine 0x9bf8	PreAction115Sub:?
Routine 0x9c10	Action115Sub:?
Routine 0x9c3e	Action139Sub:?
Routine 0x9c56	Action168Sub:?
Routine 0x9cbe	Action50Sub:?
Routine 0x9ce6	routine40166:?
Routine 0x9d14	Action93Sub:?
Routine 0x9db6	Action69Sub:?
Routine 0x9e30	Action170Sub:?
Routine 0x9e6a	Action171Sub:?
! References: obj57_castle.prop19
Routine 0x9e90	Action44Sub:?
! References: obj185_tracks.prop19
Routine 0x9eac	Action173Sub:?
Routine 0x9eb2	Action172Sub:?
Routine 0x9ed8	Action174Sub:?
Routine 0x9ede	Action175Sub:?
! References: obj181_tree.prop19, obj184_floor.prop9
Routine 0x9ee4	routine40676:?
! References: obj10_passage.prop9
Routine 0x9f08	routine40712:?
! References: obj82_castle_wall.prop9
Routine 0x9f16	routine40726:?
! References: obj21_you.prop9, obj252_pseudo.prop9
Routine 0x9f7a	routine40826:?
! References: obj13_window.prop9
Routine 0xa11c	routine41244:?
! References: obj113_sea.prop9
Routine 0xa15c	routine41308:?
! References: obj1_forest.prop9
Routine 0xa1a2	routine41378:?
! References: obj13_window.prop19, obj159_temple.prop9
Routine 0xa1ae	routine41390:?
! References: obj12_courtyard.prop9
Routine 0xa1ee	routine41454:?
! References: obj127_tower.prop9
Routine 0xa21c	routine41500:?
! References: obj19_jug.prop9
Routine 0xa28a	routine41610:?
! References: obj4_water.prop9, obj182_quantity_of_water.prop9
Routine 0xa332	routine41778:?
! References: obj75_sky.prop9
Routine 0xa650	routine42576:?
! References: obj187_such_thing.prop9
Routine 0xa6a4	routine42660:?
Routine 0xa73c	routine42812:?
Routine 0xa7c4	routine42948:?
Routine 0xa7f4	routine42996:?
! References: obj11_Necromancer_Belboz.prop9
Routine 0xa832	routine43058:?
! References: obj135_room.prop9
Routine 0xa91a	routine43290:?
! References: obj214_bramble.prop9
Routine 0xa97a	routine43386:?
! References: obj110_hole.prop9
Routine 0xa9ba	routine43450:?
! References: obj46_lurking_evil_presence.prop9
Routine 0xa9d6	routine43478:?
! References: obj6_map.prop9
Routine 0xaa9e	routine43678:?
! References: obj14_badly_worn_pencil.prop9
Routine 0xab9c	routine43932:?
! References: obj83_black_passage.prop9
Routine 0xac28	routine44072:?
! References: obj34_Translucent_Room.prop9, obj56_Translucent_Room.prop9, obj104_Translucent_Room.prop9, obj119_Translucent_Room.prop9, obj163_Translucent_Room.prop9, obj174_Translucent_Room.prop9, obj216_Translucent_Room.prop9, obj231_Translucent_Room.prop9, obj240_Translucent_Room.prop9
Routine 0xac5e	routine44126:?
Routine 0xaf4c	routine44876:?
Routine 0xb058	routine45144:?
Routine 0xb2be	routine45758:?
Routine 0xb2ce	routine45774:?
Routine 0xb2e0	routine45792:?
Routine 0xb2fc	routine45820:?
Routine 0xb352	routine45906:?
Routine 0xb430	routine46128:?
Routine 0xb4ec	routine46316:?
Routine 0xb5ba	routine46522:?
Routine 0xb5e8	routine46568:?
Routine 0xb8b6	routine47286:?
Routine 0xb8bc	routine47292:?
Routine 0xb8d0	routine47312:?
Routine 0xb908	routine47368:?
! References: obj20_dusty_book.prop9
Routine 0xb96e	routine47470:?
! References: obj73_Legend_of_the_Great_Implementers.prop9
Routine 0xba22	routine47650:?
! References: obj105_Landing.e_to
Routine 0xbb12	routine47890:?
! References: obj160_Winding_Stair.prop16
Routine 0xbb58	routine47960:?
! References: obj168_stairs.prop9
Routine 0xbbda	routine48090:?
Routine 0xbc12	routine48146:?
! References: obj160_Winding_Stair.u_to
Routine 0xbda8	routine48552:?
! References: obj160_Winding_Stair.d_to
Routine 0xbdb2	routine48562:?
Routine 0xbdbc	routine48572:?
! References: obj160_Winding_Stair.prop9
Routine 0xbe06	routine48646:?
! References: obj160_Winding_Stair.w_to
Routine 0xbe78	routine48760:?
Routine 0xbe8e	routine48782:?
Routine 0xbede	routine48862:?
! References: obj47_Winding_Stair.d_to, obj47_Winding_Stair.w_to, obj47_Winding_Stair.e_to
Routine 0xbf0c	routine48908:?
! References: obj209_Bottomless_Pit.d_to, obj209_Bottomless_Pit.u_to
Routine 0xbf9c	routine49052:?
! References: obj47_Winding_Stair.prop9, obj209_Bottomless_Pit.prop9
Routine 0xbffa	routine49146:?
Routine 0xc052	routine49234:?
Routine 0xc070	routine49264:?
Routine 0xc0c6	routine49350:?
Routine 0xc12e	routine49454:?
Routine 0xc16a	routine49514:?
! References: obj156_Warlock_s_Tower.prop9
Routine 0xc184	routine49540:?
! References: obj255_warlock_Krill.prop9
Routine 0xc3c4	routine50116:?
! References: obj188_dragon.prop9
Routine 0xc490	routine50320:?
Routine 0xc5de	routine50654:?
Routine 0xc6cc	routine50892:?
! References: obj248_monster.prop9
Routine 0xc720	routine50976:?
Routine 0xc856	routine51286:?
Routine 0xc90c	routine51468:?
Routine 0xc964	routine51556:?
! References: obj50_warlock_Krill.prop9
Routine 0xca00	routine51712:?
Routine 0xce04	routine52740:?
Routine 0xcec4	Action147Sub:?
Routine 0xcf7c	routine53116:?
Routine 0xcfa2	routine53154:?
! References: obj144_spell_book.prop9
Routine 0xcfe2	routine53218:?
Routine 0xd18e	routine53646:?
Routine 0xd26a	PreAction148Sub:?
! References: obj24_ornate_scroll.prop9, obj25_scribbled_scroll.prop9, obj36_stained_scroll.prop9, obj71_brittle_scroll.prop9, obj117_black_scroll.prop9, obj134_gold_leaf_scroll.prop9, obj154_frayed_scroll.prop9, obj201_purple_scroll.prop9, obj206_slightly_crumpled_scroll.prop9, obj226_vellum_scroll.prop9, obj233_powerful_scroll.prop9, obj235_damp_scroll.prop9, obj245_faded_scroll.prop9
Routine 0xd42e	routine54318:?
! References: obj8_guncho_spell.prop9, obj40_kulcad_spell.prop9, obj53_cleesh_spell.prop9, obj59_frotz_spell.prop9, obj60_filfre_spell.prop9, obj78_izyuk_spell.prop9, obj80_gnusto_spell.prop9, obj81_gondar_spell.prop9, obj84_nitfol_spell.prop9, obj141_exex_spell.prop9, obj155_melbor_spell.prop9, obj158_zifmia_spell.prop9, obj193_blorb_spell.prop9, obj197_ozmoo_spell.prop9, obj215_vaxum_spell.prop9, obj238_rezrov_spell.prop9, obj241_krebf_spell.prop9
Routine 0xd55e	routine54622:?
Routine 0xd70e	routine55054:?
Routine 0xd784	routine55172:?
Routine 0xd79e	Action144Sub:?
Routine 0xd8d4	Action145Sub:?
Routine 0xd8ec	Action146Sub:?
Routine 0xd8f4	Action149Sub:?
Routine 0xdb26	routine56102:?
Routine 0xdcd4	Action150Sub:?
Routine 0xdd76	Action151Sub:?
Routine 0xddd4	routine56788:?
Routine 0xde0a	Action152Sub:?
Routine 0xde46	routine56902:?
Routine 0xdea2	Action153Sub:?
Routine 0xdec2	Action148Sub:?
Routine 0xdeca	Action154Sub:?
Routine 0xdf28	routine57128:?
Routine 0xdf70	Action155Sub:?
Routine 0xe054	routine57428:?
Routine 0xe0bc	Action156Sub:?
Routine 0xe1da	Action157Sub:?
Routine 0xe1f8	Action158Sub:?
Routine 0xe23a	Action159Sub:?
! References: obj176_strong_box.prop9
Routine 0xe2c8	routine58056:?
Routine 0xe384	Action160Sub:?
Routine 0xe3d6	Action161Sub:?
Routine 0xe4a8	Action162Sub:?
Routine 0xe5e4	Action163Sub:?
Routine 0xe684	routine59012:?
Routine 0xe71e	Action164Sub:?
! References: obj221_jewelled_box.prop16
Routine 0xe830	routine59440:?
! References: obj221_jewelled_box.prop9
Routine 0xe8ee	routine59630:?
! References: obj30_tangle_of_rope.prop9
Routine 0xea30	routine59952:?
Routine 0xed28	routine60712:?
! References: obj169_sacrificial_dagger.prop9
Routine 0xed46	routine60742:?
! References: obj121_maps.prop9
Routine 0xed88	routine60808:?
! References: obj250_Entharion.prop9
Routine 0xeef8	routine61176:?
! References: obj203_golden_globe.prop9
Routine 0xef8e	routine61326:?
! References: obj88_pedestal.prop9
Routine 0xefe0	routine61408:?
! References: obj161_Guarded_Door.prop9
Routine 0xeff6	routine61430:?
! References: obj128_spear.prop9, obj131_iron_chain.prop9, obj132_monster.prop9, obj230_guarded_door.prop9
Routine 0xf290	routine62096:?
! References: obj126_mirror.prop9
Routine 0xf4e8	routine62696:?
! References: obj228_shards_of_glass.prop9
Routine 0xf5d8	routine62936:?
! References: obj70_Hall_of_Mirrors_Three.prop9, obj125_Hall_of_Mirrors_Two.prop9, obj172_Hall_of_Mirrors_One.prop9, obj229_Hall_of_Mirrors_Four.prop9
Routine 0xf616	routine62998:?
! References: obj199_mirror_environment.prop9
Routine 0xf7de	routine63454:?
Routine 0xf818	routine63512:?
Routine 0xf828	routine63528:?
Routine 0xf864	routine63588:?
! References: obj97_adventurer.prop9
Routine 0xf8b2	routine63666:?
! References: obj242_adventurer.prop9
Routine 0xf8e8	routine63720:?
! References: obj44_adventurer.prop12
Routine 0xfa1a	routine64026:?
! References: obj44_adventurer.prop18
Routine 0xfa62	routine64098:?
! References: obj222_sword.prop9
Routine 0xfaba	routine64186:?
Routine 0xfae0	routine64224:?
! References: obj44_adventurer.prop9
Routine 0xfe28	routine65064:?
Routine 0x10174	routine65908:?
Routine 0x101b6	routine65974:?
Routine 0x102d2	routine66258:?
Routine 0x104e6	routine66790:?
Routine 0x1051a	routine66842:?
Routine 0x105b6	routine66998:?
Routine 0x105f4	routine67060:?
Routine 0x1061a	routine67098:?
Routine 0x106d2	routine67282:?
Routine 0x10702	routine67330:?
! References: obj161_Guarded_Door.prop16
Routine 0x1071c	routine67356:?
Routine 0x107fc	routine67580:?
! References: obj243_Inside_Gate.prop9
Routine 0x10a30	routine68144:?
! References: obj15_chains.prop9, obj232_iron_gate.prop9
Routine 0x10b4a	routine68426:?
! References: obj200_arch.prop9
Routine 0x10bd6	routine68566:?
! References: obj133_fourposter_feather_bed.prop9
Routine 0x10c1c	routine68636:?
! References: obj3_bedpost.prop9
Routine 0x10dba	routine69050:?
! References: obj138_compartment.prop9
Routine 0x10ef8	routine69368:?
! References: obj115_ornate_button.prop9
Routine 0x10f54	routine69460:?
Routine 0x10f72	routine69490:?
! References: obj99_Cell.prop9
Routine 0x10fa0	routine69536:?
! References: obj202_cell_door.prop9
Routine 0x1103e	routine69694:?
! References: obj208_stone_wall.prop9
Routine 0x1107e	routine69758:?
! References: obj63_square_block_of_stone.prop9
Routine 0x110f8	routine69880:?
! References: obj213_Secret_Passage.prop9
Routine 0x11144	routine69956:?
! References: obj246_South_Gate.prop9
Routine 0x111e0	routine70112:?
! References: obj153_festive_decorations.prop9
Routine 0x112a0	routine70304:?
! References: obj26_banquet_candles.prop9, obj51_benches.prop9, obj177_golden_cutlery.prop9, obj224_tables.prop9
Routine 0x112c0	routine70336:?
! References: obj223_luscious_food.prop9
Routine 0x1135e	routine70494:?
! References: obj137_Banquet_Hall.prop9, obj146_Library.prop9
Routine 0x1138e	routine70542:?
Routine 0x116ac	routine71340:?
Routine 0x1176c	routine71532:?
! References: obj192_group_of_hairy_shapes.prop9
Routine 0x118ec	routine71916:?
! References: obj254_various_and_sundry_items.prop9
Routine 0x11b62	routine72546:?
! References: obj124_rat_nest.prop9
Routine 0x11ba6	routine72614:?
! References: obj93_oven.prop9
Routine 0x11bf0	routine72688:?
! References: obj72_heap_of_garbage.prop9
Routine 0x11c70	routine72816:?
! References: obj247_Junction.prop9
Routine 0x11ca4	routine72868:?
! References: obj137_Banquet_Hall.prop16, obj146_Library.prop16, obj247_Junction.prop16
Routine 0x11d10	routine72976:?
! References: obj183_skeleton.prop9
Routine 0x11e38	routine73272:?
! References: obj17_noise.prop9
Routine 0x11e98	routine73368:?
Routine 0x11f70	routine73584:?
Routine 0x11fa2	routine73634:?
! References: obj185_tracks.prop9
Routine 0x12058	routine73816:?
! References: obj210_rat_hole.prop9
Routine 0x120c4	routine73924:?
! References: obj194_gate.prop9
Routine 0x121aa	routine74154:?
! References: obj95_Forest.prop9
Routine 0x121fe	routine74238:?
! References: obj32_Swamp.prop9
Routine 0x12214	routine74260:?
Routine 0x1228a	routine74378:?
! References: obj62_frog.prop9
Routine 0x122c4	routine74436:?
! References: obj118_lily_pad.prop9
Routine 0x1230e	routine74510:?
Routine 0x1239e	routine74654:?
! References: obj100_statue.prop9
Routine 0x12476	routine74870:?
! References: obj178_huddled_mass__yearning_to_drink_blood.prop9
Routine 0x1250c	routine75020:?
! References: obj109_guards.prop9
Routine 0x1268c	routine75404:?
! References: obj147_north_cell_door.prop9, obj251_south_cell_door.prop9
Routine 0x12ab0	routine76464:?
! References: obj54_Cell.prop9
Routine 0x12b7a	routine76666:?
Routine 0x12c32	routine76850:?
! References: obj122_Temple.prop9
Routine 0x12cbe	routine76990:?
Routine 0x12cd6	routine77014:?
Routine 0x12e70	routine77424:?
Routine 0x130c4	routine78020:?
! References: obj129_Gallery.prop16
Routine 0x130d6	routine78038:?
! References: obj129_Gallery.prop9
Routine 0x13190	routine78224:?
Routine 0x13282	routine78466:?
! References: obj106_portraits_of_unknown_persons.prop9
Routine 0x13398	routine78744:?
! References: obj179_Flathead_portrait.prop9
Routine 0x134ee	routine79086:?
! References: obj167_Frobozz_portrait.prop9
Routine 0x135f4	routine79348:?
! References: obj170_lighted_portrait.prop9
Routine 0x1373a	routine79674:?
! References: obj114_niche.prop9
Routine 0x138c8	routine80072:?
! References: obj204_black_candle.prop9
Routine 0x138d8	routine80088:?
! References: obj195_collection_of_chests_and_cabinets.prop9
Routine 0x1394a	routine80202:?
Routine 0x139a2	routine80290:?
! References: obj112_beautiful__ornamented_egg.prop9
Routine 0x139da	routine80346:?
! References: obj136_golden_crank.prop9, obj139_diamond_studded_button.prop9, obj148_lapis_handle.prop9, obj149_emerald_knob.prop9, obj151_silver_slide.prop9
Routine 0x13d42	routine81218:?
! References: obj180_scrambled_egg.prop9
Routine 0x13f56	routine81750:?
! References: obj234_shredded_scroll.prop9
Routine 0x13f94	routine81812:?
Routine 0x13fee	Action165Sub:?
! References: obj69_sleep.prop9
Routine 0x14006	routine81926:?
Routine 0x14034	routine81972:?
Routine 0x14060	routine82016:?
Routine 0x1408c	routine82060:?
Routine 0x14148	Action2Sub:?
Routine 0x1417e	Action103Sub:?
! References: obj90_machinery.prop9
Routine 0x14920	routine84256:?
! References: obj145_Engine_Room.prop9
Routine 0x149aa	routine84394:?
Routine 0x14b22	routine84770:?
! References: obj236_Tower.prop9
Routine 0x14b74	routine84852:?
! References: obj31_blinking_display.prop9, obj67_glowing_control.prop9
Routine 0x14b9e	routine84894:?
Routine 0x14bf4	routine84980:?
! References: obj145_Engine_Room.se_to
Routine 0x14c74	routine85108:?
! References: obj171_Control_Room.nw_to
Routine 0x14fd0	routine85968:?
Routine 0x15402	routine87042:?
! References: obj18_local_vegetation.prop9, obj98_flotsam.prop9
Routine 0x1542a	routine87082:?
Routine 0x15452	routine87122:?
! References: obj16_rainbow_turtle.prop9, obj48_rainbow_turtle.prop9
Routine 0x15462	routine87138:?
Routine 0x15c38	routine89144:?
Routine 0x15cba	routine89274:?
Routine 0x15cd2	routine89298:?
Routine 0x15eee	routine89838:?
! References: obj101_Outside_Gate.prop9
Routine 0x15fd6	routine90070:?
! References: obj61_undergrowth.prop9
Routine 0x16048	routine90184:?
! References: obj239_sign.prop9
Routine 0x16096	routine90262:?
! References: obj157_foundation.prop9
Routine 0x160e2	routine90338:?
! References: obj57_castle.prop9
Routine 0x16116	routine90390:?
! References: obj165_wooden_shack.prop9
Routine 0x161a6	routine90534:?
! References: obj94_battered_lantern.prop9
Routine 0x161c6	routine90566:?
Routine 0x1624e	routine90702:?
! References: obj85_oven.prop9
Routine 0x16272	routine90738:?
! References: obj41_loaf_of_bread.prop9
Routine 0x162bc	routine90812:?
! References: obj181_tree.prop9
Routine 0x163c0	routine91072:?
! References: obj29_hovel.prop9
Routine 0x1644a	routine91210:?
! References: obj196_Deserted_Village.s_to
Routine 0x1645c	routine91228:?
! References: obj120_creature_swathed_in_rags.prop9
Routine 0x16778	routine92024:?
! References: obj45_Long_Road.prop9
Routine 0x16858	routine92248:?
Routine 0x1690e	routine92430:?
! References: obj37_sign.prop9
Routine 0x16932	routine92466:?
! References: obj45_Long_Road.w_to, obj45_Long_Road.e_to
Routine 0x1696a	routine92522:?
Routine 0x16998	routine92568:?
Routine 0x169e8	routine92648:?
! References: obj74_road.prop9
Routine 0x16a16	routine92694:?
! References: obj7_hills.prop9
Routine 0x16a8e	routine92814:?
! References: obj186_mountain.prop9
Routine 0x16ada	routine92890:?
Routine 0x16b56	routine93014:?
Routine 0x16b7e	routine93054:?
! References: obj111_glimpse.prop9, obj166_glimpse.prop9
Routine 0x16cbc	routine93372:?
